nombre,apellido,sexo,fecha_nacimiento,pais,id_cedula,fecha_cedula,no_celular,correo,info_requerida,status_proceso,counter
Claudia,BLANCO,M,03/04/1974,COL,409166553,12/24/1991,+57683839534,ClaBLA22@correo.com,1,OK,0
Alhelí,SERRANO,M,07/02/1975,ESP,857726819,12/10/1975,+34592531522,AlhSER202@correo.com,1,NOK,2
Carmen,TORRES,M,01/07/1966,ESP,833205026,11/16/1982,+34311154284,CarTOR95@correo.com,1,NOK,3
 Jesús ,LORENZO,H,03/31/1975,ARG,628390571,09/14/1976,+54862944764, JeLOR707@correo.com,1,NOK,3
 Leo ,DIEZ,H,12/11/2002,COL,273619785,09/10/2003,+57160410837, LeDIE650@correo.com,1,NOK,0
Orquídea,BLANCO,M,09/29/1967,ARG,189244094,07/24/1985,+54130709459,OrqBLA541@correo.com,1,OK,0
,CARRASCO,M,01/26/1972,ESP,962682787,05/06/1978,+34326181724,CAR31@correo.com,1,NOK,3
Makani,RAMOS,M,03/16/1996,ARG,763920385,08/09/2014,+54311868213,MakRAM453@correo.com,1,NOK,1
 Luka ,AGUILAR,H,11/11/1996,COL,598556100,03/23/2009,+57427746060, LuAGU428@correo.com,1,OK,0
 Arnau ,FERRER,H,03/01/1984,COL,807037178,01/03/2004,+57489862184, ArFER536@correo.com,1,OK,0
Violeta,RUIZ,M,09/10/1968,ARG,347351303,07/26/1977,+54793894272,VioRUI497@correo.com,1,OK,0
,GIMENEZ,H,05/09/1962,ESP,757690627,02/15/1970,+34559775589,GIM993@correo.com,1,OK,0
 Saúl ,GIMENEZ,H,08/20/1974,MEX,521522314,07/21/1993,+52989330432, SaGIM738@correo.com,1,NOK,1
 Rubén ,MORALES,H,11/12/1961,COL,329641449,12/27/1979,+57656686794, RuMOR293@correo.com,1,OK,0
 Oliver ,SERRANO,H,12/20/1982,ESP,561266228,07/12/1987,+34593877709, OlSER528@correo.com,1,NOK,3
 Unai ,MOYA,H,08/13/1992,ESP,777366462,12/15/1997,+34355259577, UnMOY159@correo.com,1,OK,0
 Antonio ,SANTANA,H,01/09/1966,PER,733633132,05/28/1984,+51576318120, AnSAN723@correo.com,1,OK,0
Tempestad,MARTIN,M,06/14/1994,ARG,282337507,01/20/2012,+54284528772,TemMAR862@correo.com,1,OK,0
